opp,seed,side,variant,win,tie,reward,margin,steps
distance_1100,41020,0,single,1,0,1.0,3264.0,123
distance_1100,41019,1,ens,1,0,1.0,3304.0,121
distance_1100,41020,1,ens,1,0,1.0,2074.0,110
distance_1100,41021,0,single,1,0,1.0,2888.0,121
distance_1100,41020,1,single,1,0,1.0,1876.0,94
distance_1100,41021,0,ens,1,0,1.0,3892.0,138
distance_1100,41022,1,ens,1,0,1.0,1279.0,99
distance_1100,41021,1,single,1,0,1.0,2862.0,116
distance_1100,41021,1,ens,1,0,1.0,2282.0,108
distance_1100,41022,0,single,1,0,1.0,2581.0,112
distance_1100,41022,0,ens,1,0,1.0,3841.0,114
distance_1100,41023,0,single,1,0,1.0,2917.0,85
distance_1100,41023,1,single,1,0,1.0,2800.0,116
distance_1100,41022,1,single,1,0,1.0,4307.0,148
distance_1100,41024,1,single,1,0,1.0,2089.0,86
distance_1100,41023,1,ens,1,0,1.0,2345.0,93
distance_1100,41024,0,single,1,0,1.0,2215.0,120
distance_1100,41023,0,ens,1,0,1.0,1723.0,92
distance_1100,41024,0,ens,1,0,1.0,2333.0,107
distance_1100,41024,1,ens,1,0,1.0,3725.0,97
distance_1100,41025,0,single,1,0,1.0,4635.0,98
distance_1100,41025,0,ens,1,0,1.0,2784.0,90
distance_1100,41025,1,single,1,0,1.0,2438.0,100
distance_1100,41025,1,ens,1,0,1.0,4664.0,113
distance_1100,41026,0,single,1,0,1.0,2587.0,84
distance_1100,41026,1,single,1,0,1.0,2501.0,102
distance_1100,41026,1,ens,1,0,1.0,2309.0,114
distance_1100,41026,0,ens,1,0,1.0,4154.0,115
distance_1100,41027,0,single,1,0,1.0,3129.0,93
distance_1100,41027,1,single,1,0,1.0,3151.0,118
distance_1100,41027,0,ens,1,0,1.0,2338.0,122
distance_1100,41027,1,ens,1,0,1.0,2384.0,124
distance_1100,41028,0,single,1,0,1.0,4447.0,131
distance_1100,41028,1,single,1,0,1.0,3465.0,98
distance_1100,41029,0,single,1,0,1.0,1397.0,85
distance_1100,41028,1,ens,1,0,1.0,3319.0,105
distance_1100,41028,0,ens,1,0,1.0,3479.0,131
distance_1100,41029,1,single,1,0,1.0,4320.0,106
distance_1100,41031,0,single,1,0,1.0,3128.0,98
distance_1100,41029,1,ens,1,0,1.0,3878.0,139
distance_1100,41030,0,single,1,0,1.0,4037.0,141
distance_1100,41030,1,single,1,0,1.0,3888.0,142
distance_1100,41030,0,ens,1,0,1.0,3908.0,128
distance_1100,41029,0,ens,1,0,1.0,1991.0,162
distance_1100,41030,1,ens,1,0,1.0,3632.0,129
distance_1100,41031,1,ens,1,0,1.0,3685.0,114
distance_1100,41031,1,single,1,0,1.0,3125.0,93
distance_1100,41032,0,single,1,0,1.0,3017.0,91
distance_1100,41032,1,single,1,0,1.0,2078.0,92
distance_1100,41032,0,ens,1,0,1.0,2724.0,100
distance_1100,41031,0,ens,1,0,1.0,3244.0,101
distance_1100,41033,1,single,1,0,1.0,2172.0,119
distance_1100,41033,1,ens,1,0,1.0,2260.0,96
distance_1100,41033,0,ens,1,0,1.0,2337.0,99
distance_1100,41033,0,single,1,0,1.0,6555.0,129
distance_1100,41034,0,ens,1,0,1.0,3792.0,102
distance_1100,41032,1,ens,1,0,1.0,3246.0,99
distance_1100,41034,0,single,1,0,1.0,3163.0,137
distance_1100,41035,0,single,1,0,1.0,715.0,104
distance_1100,41035,0,ens,1,0,1.0,447.0,127
distance_1100,41034,1,single,1,0,1.0,3546.0,134
distance_1100,41036,1,single,1,0,1.0,2427.0,95
distance_1100,41036,0,single,1,0,1.0,2478.0,113
distance_1100,41035,1,single,1,0,1.0,2693.0,122
distance_1100,41036,0,ens,1,0,1.0,2784.0,141
distance_1100,41035,1,ens,1,0,1.0,2029.0,122
distance_1100,41034,1,ens,1,0,1.0,2735.0,122
distance_1100,41037,0,ens,1,0,1.0,2443.0,106
distance_1100,41037,0,single,1,0,1.0,3172.0,96
distance_1100,41037,1,single,1,0,1.0,2510.0,95
distance_1100,41036,1,ens,1,0,1.0,2321.0,85
distance_1100,41038,0,single,1,0,1.0,2283.0,97
distance_1100,41037,1,ens,1,0,1.0,3138.0,93
distance_1100,41038,0,ens,1,0,1.0,1935.0,131
distance_1100,41039,0,single,1,0,1.0,1897.0,98
distance_1100,41038,1,single,1,0,1.0,2061.0,88
distance_1100,41038,1,ens,1,0,1.0,4016.0,131
distance_1100,41039,1,ens,1,0,1.0,1103.0,91
distance_1100,41039,1,single,1,0,1.0,3024.0,131
distance_1100,41040,0,single,1,0,1.0,1407.0,104
distance_1100,41040,1,ens,1,0,1.0,4461.0,160
distance_1100,41039,0,ens,1,0,1.0,2785.0,107
distance_1100,41041,1,single,1,0,1.0,3278.0,123
distance_1100,41041,0,single,1,0,1.0,3821.0,105
distance_1100,41041,1,ens,1,0,1.0,4579.0,109
distance_1100,41040,0,ens,1,0,1.0,4804.0,114
distance_1100,41040,1,single,1,0,1.0,5013.0,150
distance_1100,41042,0,single,1,0,1.0,2207.0,98
distance_1100,41041,0,ens,1,0,1.0,2298.0,139
distance_1100,41042,1,ens,1,0,1.0,3590.0,101
distance_1100,41042,0,ens,1,0,1.0,2670.0,94
distance_1100,41043,0,single,1,0,1.0,2025.0,127
distance_1100,41042,1,single,1,0,1.0,2824.0,103
distance_1100,41043,1,ens,1,0,1.0,3113.0,102
distance_1100,41043,1,single,1,0,1.0,3765.0,129
distance_1100,41043,0,ens,1,0,1.0,3991.0,120
distance_1100,41044,1,single,1,0,1.0,3014.0,106
distance_1100,41045,1,single,1,0,1.0,1243.0,87
distance_1100,41044,0,single,1,0,1.0,3366.0,114
distance_1100,41044,0,ens,1,0,1.0,4357.0,125
