agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,prodshare80_0,status_0,reward_1,score_1,rank_1,prodshare80_1,status_1,reward_2,score_2,rank_2,prodshare80_2,status_2,reward_3,score_3,rank_3,prodshare80_3,status_3,steps,seconds
v5,producer,producer_v2,v5_hold_margin_beta2.0,20025,1,-1.0,0.0,2,0.1447,DONE,-1.0,0.0,2,0.0,DONE,1.0,2394.0,1,0.6053,DONE,-1.0,0.0,2,0.25,DONE,132,22.4
producer_v2,v5_hold_margin_beta2.0,v5,producer,20019,3,-1.0,0.0,3,0.2533,DONE,-1.0,207.0,2,0.24,DONE,1.0,20715.0,1,0.2533,DONE,-1.0,0.0,3,0.2533,DONE,499,108.0
v5_hold_margin_beta2.0,v5,producer,producer_v2,20024,0,-1.0,270.0,2,0.0,DONE,1.0,10040.0,1,0.4828,DONE,-1.0,0.0,3,0.2414,DONE,-1.0,0.0,3,0.2759,DONE,499,64.9
v5_hold_margin_beta2.0,v5,producer,producer_v2,20028,0,-1.0,0.0,2,0.082,DONE,1.0,2130.0,1,0.5902,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.3279,DONE,138,40.4
v5,producer,producer_v2,v5_hold_margin_beta2.0,20029,1,-1.0,0.0,2,0.1633,DONE,-1.0,0.0,2,0.1224,DONE,-1.0,0.0,2,0.3469,DONE,1.0,7995.0,1,0.3673,DONE,387,82.3
producer,producer_v2,v5_hold_margin_beta2.0,v5,20030,2,-1.0,0.0,2,0.2462,DONE,-1.0,0.0,2,0.1538,DONE,-1.0,0.0,2,0.2462,DONE,1.0,2302.0,1,0.3538,DONE,171,59.0
producer_v2,v5_hold_margin_beta2.0,v5,producer,20031,3,-1.0,0.0,2,0.275,DONE,-1.0,0.0,2,0.225,DONE,1.0,3898.0,1,0.325,DONE,-1.0,0.0,2,0.175,DONE,281,58.4
producer_v2,v5_hold_margin_beta2.0,v5,producer,20027,3,-1.0,0.0,3,0.4,DONE,-1.0,415.0,2,0.1867,DONE,1.0,13332.0,1,0.3467,DONE,-1.0,0.0,3,0.0667,DONE,499,117.7
producer,producer_v2,v5_hold_margin_beta2.0,v5,20026,2,-1.0,0.0,3,0.0,DONE,-1.0,328.0,2,0.4107,DONE,-1.0,0.0,3,0.1607,DONE,1.0,18402.0,1,0.4286,DONE,499,114.4
v5_hold_margin_beta2.0,v5,producer,producer_v2,20032,0,-1.0,0.0,2,0.25,DONE,1.0,2052.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,234,69.4
v5,producer,producer_v2,v5_hold_margin_beta2.0,20033,1,-1.0,0.0,2,0.3125,DONE,-1.0,0.0,2,0.0,DONE,1.0,2279.0,1,0.4531,DONE,-1.0,0.0,2,0.2344,DONE,180,32.1
v5_hold_margin_beta2.0,v5,producer,producer_v2,20036,0,-1.0,0.0,2,0.2222,DONE,1.0,826.0,1,0.3889,DONE,-1.0,0.0,2,0.2778,DONE,-1.0,0.0,2,0.1111,DONE,110,31.8
v5,producer,producer_v2,v5_hold_margin_beta2.0,20037,1,-1.0,0.0,2,0.1316,DONE,-1.0,0.0,2,0.1316,DONE,-1.0,0.0,2,0.4211,DONE,1.0,1690.0,1,0.3158,DONE,139,42.3
producer_v2,v5_hold_margin_beta2.0,v5,producer,20039,3,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,1.0,575.0,1,0.25,DONE,177,31.7
producer,producer_v2,v5_hold_margin_beta2.0,v5,20034,2,-1.0,0.0,2,0.1967,DONE,-1.0,0.0,2,0.2295,DONE,1.0,3403.0,1,0.2623,DONE,-1.0,0.0,2,0.3115,DONE,286,76.6
v5_hold_margin_beta2.0,v5,producer,producer_v2,20040,0,-1.0,0.0,2,0.5,DONE,1.0,850.0,1,0.5,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.0,DONE,216,35.2
producer_v2,v5_hold_margin_beta2.0,v5,producer,20035,3,-1.0,0.0,3,0.1695,DONE,-1.0,280.0,2,0.3051,DONE,1.0,18703.0,1,0.5254,DONE,-1.0,0.0,3,0.0,DONE,499,76.2
producer,producer_v2,v5_hold_margin_beta2.0,v5,20038,2,-1.0,0.0,2,0.35,DONE,1.0,1580.0,1,0.4,DONE,-1.0,0.0,2,0.0167,DONE,-1.0,0.0,2,0.2333,DONE,212,58.3
v5,producer,producer_v2,v5_hold_margin_beta2.0,20041,1,-1.0,0.0,2,0.2561,DONE,-1.0,0.0,2,0.0854,DONE,1.0,1795.0,1,0.4146,DONE,-1.0,0.0,2,0.2439,DONE,138,43.3
producer_v2,v5_hold_margin_beta2.0,v5,producer,20047,3,-1.0,0.0,2,0.1591,DONE,-1.0,0.0,2,0.0,DONE,1.0,1634.0,1,0.8409,DONE,-1.0,0.0,2,0.0,DONE,105,27.8
producer_v2,v5_hold_margin_beta2.0,v5,producer,20043,3,-1.0,0.0,2,0.359,DONE,-1.0,0.0,2,0.0,DONE,1.0,13840.0,1,0.5128,DONE,-1.0,0.0,2,0.1282,DONE,445,74.6
v5,producer,producer_v2,v5_hold_margin_beta2.0,20045,1,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.0833,DONE,1.0,1824.0,1,0.3167,DONE,-1.0,0.0,2,0.35,DONE,163,52.2
v5,producer,producer_v2,v5_hold_margin_beta2.0,20049,1,-1.0,0.0,2,0.3906,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.125,DONE,1.0,2222.0,1,0.2344,DONE,156,31.5
producer,producer_v2,v5_hold_margin_beta2.0,v5,20046,2,-1.0,1172.0,3,0.25,DONE,-1.0,1172.0,3,0.25,DONE,1.0,2989.0,1,0.25,DONE,1.0,2989.0,1,0.25,DONE,499,102.1
v5_hold_margin_beta2.0,v5,producer,producer_v2,20048,0,-1.0,0.0,2,0.1333,DONE,1.0,906.0,1,0.4667,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.4,DONE,141,37.4
producer,producer_v2,v5_hold_margin_beta2.0,v5,20050,2,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.1475,DONE,1.0,2966.0,1,0.5082,DONE,-1.0,0.0,2,0.3443,DONE,150,45.6
v5_hold_margin_beta2.0,v5,producer,producer_v2,20044,0,1.0,1391.0,1,0.25,DONE,-1.0,0.0,4,0.25,DONE,-1.0,1254.0,2,0.2857,DONE,-1.0,676.0,3,0.2143,DONE,499,120.8
